num_qubits,quanvolutional,time
10,9,0.01788477897644043
10,10,0.013275742530822754
10,11,0.013285422325134277
10,12,0.013332009315490723
10,13,0.012112689018249512
10,14,0.012034034729003907
10,15,0.017239713668823244
10,16,0.016285514831542967
10,17,0.014681315422058106
10,18,0.01459043025970459
10,19,0.01435103416442871
11,1,0.012423014640808106
11,2,0.01483304500579834
11,3,0.012633705139160156
11,4,0.017440152168273926
11,5,0.030495619773864745
11,6,0.033979392051696776
11,7,0.015770578384399415
11,8,0.016391539573669435
11,9,0.014096450805664063
11,10,0.014299535751342773
11,11,0.014296126365661622
11,12,0.014109420776367187
11,13,0.012657094001770019
11,14,0.016571187973022462
11,15,0.012928152084350586
11,16,0.013857197761535645
11,17,0.014030790328979493
11,18,0.01391901969909668
11,19,0.012324070930480957
12,1,0.011704277992248536
12,2,0.013089466094970702
12,3,0.018973350524902344
12,4,0.013040900230407715
12,5,0.0316864013671875
12,6,0.034412264823913574
12,7,0.016481947898864747
12,8,0.01654338836669922
12,9,0.014318609237670898
12,10,0.01461167335510254
12,11,0.01594364643096924
12,12,0.02372920513153076
12,13,0.014483904838562012
12,14,0.014725470542907714
12,15,0.016969704627990724
12,16,0.013197898864746094
12,17,0.013003945350646973
12,18,0.01320040225982666
12,19,0.013087987899780273
13,1,0.014340734481811524
13,2,0.01938185691833496
13,3,0.01685950756072998
13,4,0.01521008014678955
13,5,0.04632482528686523
13,6,0.04489712715148926
13,7,0.020584774017333985
13,8,0.019976091384887696
13,9,0.01885647773742676
13,10,0.019060039520263673
13,11,0.020381522178649903
13,12,0.020334959030151367
13,13,0.024121665954589845
13,14,0.01861252784729004
13,15,0.02019495964050293
13,16,0.014919185638427734
13,17,0.01514902114868164
13,18,0.014756107330322265
13,19,0.015373134613037109
14,1,0.014837384223937988
14,2,0.021197962760925292
14,3,0.022420334815979003
14,4,0.019176077842712403
14,5,0.04928746223449707
14,6,0.05521790981292725
14,7,0.025617599487304688
14,8,0.025236225128173827
14,9,0.025780773162841795
14,10,0.02657949924468994
14,11,0.02584366798400879
14,12,0.026370525360107422
14,13,0.024734807014465333
14,14,0.030003118515014648
14,15,0.03101351261138916
14,16,0.021359634399414063
14,17,0.020622992515563966
14,18,0.019895029067993165
14,19,0.02004544734954834
15,1,0.018665218353271486
15,2,0.023673176765441895
15,3,0.018903779983520507
15,4,0.02025625705718994
15,5,0.040325713157653806
15,6,0.04868881702423096
15,7,0.020612263679504396
15,8,0.021857285499572755
15,9,0.018413472175598144
15,10,0.017371582984924316
15,11,0.01967329978942871
15,12,0.021809315681457518
15,13,0.017995119094848633
15,14,0.017170095443725587
15,15,0.01777069568634033
15,16,0.017261314392089843
15,17,0.020638585090637207
15,18,0.022911953926086425
15,19,0.01661527156829834
16,1,0.013056325912475585
16,2,0.01466219425201416
16,3,0.01894245147705078
16,4,0.026731109619140624
16,5,0.04804394245147705
16,6,0.050661110877990724
16,7,0.025468111038208008
16,8,0.02695467472076416
16,9,0.01677422523498535
16,10,0.016063380241394042
16,11,0.02487361431121826
16,12,0.022404813766479494
16,13,0.02016901969909668
16,14,0.017383742332458495
16,15,0.0190380334854126
16,16,0.017270755767822266
16,17,0.019286489486694335
16,18,0.023090219497680663
16,19,0.01985433101654053
17,1,0.01765589714050293
17,2,0.019523882865905763
17,3,0.019055485725402832
17,4,0.019257497787475587
17,5,0.05948901176452637
17,6,0.06859283447265625
17,7,0.0237199068069458
17,8,0.02363288402557373
17,9,0.01838507652282715
17,10,0.017273855209350587
17,11,0.022703027725219725
17,12,0.02404632568359375
17,13,0.019568657875061034
17,14,0.018683147430419923
17,15,0.018213677406311034
17,16,0.019813060760498047
17,17,0.01642270088195801
17,18,0.025499129295349122
17,19,0.02074429988861084
18,1,0.019374442100524903
18,2,0.02653648853302002
18,3,0.021289610862731935
18,4,0.021332836151123045
18,5,0.07347579002380371
18,6,0.0841421365737915
18,7,0.024603652954101562
18,8,0.025243759155273438
18,9,0.020114707946777343
18,10,0.0273266077041626
18,11,0.022014927864074708
18,12,0.02438826560974121
18,13,0.020354962348937987
18,14,0.020662355422973632
18,15,0.019316601753234863
18,16,0.020575594902038575
18,17,0.022189974784851074
18,18,0.021320199966430663
18,19,0.02033553123474121
19,1,0.020029997825622557
19,2,0.02834341526031494
19,3,0.021729159355163574
19,4,0.022916603088378906
19,5,0.09196727275848389
19,6,0.13867526054382323
19,7,0.025688648223876953
19,8,0.02561016082763672
19,9,0.01990480422973633
19,10,0.026884078979492188
19,11,0.025382852554321288
19,12,0.02930572032928467
19,13,0.022284269332885742
19,14,0.023003864288330077
19,15,0.022176671028137206
19,16,0.020965576171875
19,17,0.022463083267211914
19,18,0.02442290782928467
19,19,0.025072169303894044
20,1,0.02091209888458252
20,2,0.03389453887939453
20,3,0.02706937789916992
20,4,0.026819753646850585
20,5,0.1403050899505615
20,6,0.23000025749206543
20,7,0.040703225135803225
20,8,0.032217550277709964
20,9,0.025751495361328126
20,10,0.025913476943969727
20,11,0.03196077346801758
20,12,0.031346607208251956
20,13,0.03040480613708496
20,14,0.029264998435974122
20,15,0.028924274444580077
20,16,0.02739748954772949
20,17,0.027032947540283202
20,18,0.029660701751708984
20,19,0.029286789894104003
21,1,0.0331817626953125
21,2,0.0431549072265625
21,3,0.04301509857177734
21,4,0.04264628887176514
21,5,0.25148468017578124
21,6,0.4687807083129883
21,7,0.053554868698120116
21,8,0.05148911476135254
21,9,0.04120891094207764
21,10,0.04244832992553711
21,11,0.05116283893585205
21,12,0.05701103210449219
21,13,0.05056784152984619
21,14,0.0495110034942627
21,15,0.0476118803024292
21,16,0.04588766098022461
21,17,0.04641029834747314
21,18,0.047935104370117186
21,19,0.04620840549468994
22,1,0.05074594020843506
22,2,0.06825296878814698
22,3,0.06853573322296143
22,4,0.0686330795288086
22,5,0.48412978649139404
22,6,0.9584856748580932
22,7,0.08020482063293458
22,8,0.0741502285003662
22,9,0.0675004005432129
22,10,0.0674490213394165
22,11,0.07293288707733155
22,12,0.07288298606872559
22,13,0.07603776454925537
22,14,0.07791526317596435
